Year,Zone,Hist Cum Reduction in Annual Energy by Zone (GWh),"Solar installed capacity, behind the meter cum (MW)","Solar reduction in energy, behind the meter cum (GWh)","Non-Solar installed capacity, behind the meter cum (MW)","Non-Solar reduction in energy, behind the meter cum (GWh)"
2003,A,118,,,,
2004,A,228,,,,
2005,A,320,,,,
2006,A,451,,,,
2007,A,540,,,,
2008,A,588,0,0,7,34
2009,A,703,1,1,11,53
2010,A,873,4,5,11,53
2011,A,1124,6,7,11,53
2012,A,1279,9,11,13,63
2013,A,1442,14,16,13,63
2014,A,1641,18,21,13,63
2015,A,1859,27,32,14,68
2016,A,2054,38,45,14,68
2017,A,2268,55,65,17,83
2003,B,57,,,,
2004,B,114,,,,
2005,B,163,,,,
2006,B,236,,,,
2007,B,287,,,,
2008,B,347,0,0,3,15
2009,B,423,0,0,3,15
2010,B,507,1,1,3,15
2011,B,651,1,1,3,15
2012,B,758,2,2,3,15
2013,B,886,3,4,3,15
2014,B,1031,9,11,3,15
2015,B,1170,17,20,4,19
2016,B,1298,23,27,4,19
2017,B,1433,32,38,4,19
2003,C,116,,,,
2004,C,224,,,,
2005,C,316,,,,
2006,C,447,,,,
2007,C,537,,,,
2008,C,587,1,1,0,0
2009,C,698,1,1,2,10
2010,C,838,2,2,32,155
2011,C,1049,4,5,33,160
2012,C,1192,7,8,34,165
2013,C,1353,14,16,35,170
2014,C,1542,23,27,41,199
2015,C,1742,40,47,41,199
2016,C,1914,63,74,42,204
2017,C,2109,92,108,46,223
2003,D,11,,,,
2004,D,21,,,,
2005,D,29,,,,
2006,D,41,,,,
2007,D,49,,,,
2008,D,53,0,0,0,0
2009,D,63,0,0,0,0
2010,D,75,0,0,0,0
2011,D,94,0,0,0,0
2012,D,107,1,1,0,0
2013,D,121,1,1,0,0
2014,D,137,1,1,0,0
2015,D,154,2,2,0,0
2016,D,169,2,2,0,0
2017,D,186,3,4,0,0
2003,E,54,,,,
2004,E,105,,,,
2005,E,148,,,,
2006,E,210,,,,
2007,E,253,,,,
2008,E,275,0,0,0,0
2009,E,331,1,1,8,39
2010,E,411,2,2,8,39
2011,E,525,2,2,8,39
2012,E,602,4,5,10,49
2013,E,687,7,8,11,53
2014,E,787,12,14,11,53
2015,E,896,25,29,11,53
2016,E,986,38,45,13,63
2017,E,1089,59,69,14,68
2003,F,87,,,,
2004,F,168,,,,
2005,F,237,,,,
2006,F,334,,,,
2007,F,401,,,,
2008,F,441,2,2,9,44
2009,F,535,3,4,10,49
2010,F,672,5,6,12,58
2011,F,865,9,11,12,58
2012,F,988,16,19,13,63
2013,F,1125,34,40,18,87
2014,F,1284,54,64,18,87
2015,F,1471,80,94,18,87
2016,F,1626,127,149,20,97
2017,F,1806,168,198,21,102
2003,G,24,,,,
2004,G,46,,,,
2005,G,68,,,,
2006,G,100,,,,
2007,G,131,,,,
2008,G,153,3,4,0,0
2009,G,228,4,5,0,0
2010,G,297,7,8,1,5
2011,G,439,9,11,1,5
2012,G,534,14,16,1,5
2013,G,643,25,29,1,5
2014,G,771,44,52,1,5
2015,G,897,80,94,1,5
2016,G,1022,119,140,1,5
2017,G,1168,152,179,1,5
2003,H,15,,,,
2004,H,29,,,,
2005,H,42,,,,
2006,H,61,,,,
2007,H,76,,,,
2008,H,82,0,0,0,0
2009,H,99,1,1,0,0
2010,H,120,1,1,0,0
2011,H,152,1,1,0,0
2012,H,172,2,2,0,0
2013,H,197,3,4,0,0
2014,H,225,8,9,0,0
2015,H,252,13,15,0,0
2016,H,281,18,21,0,0
2017,H,303,22,26,0,0
2003,I,21,,,,
2004,I,42,,,,
2005,I,63,,,,
2006,I,92,,,,
2007,I,118,,,,
2008,I,130,0,0,1,5
2009,I,157,1,1,1,5
2010,I,207,2,2,2,10
2011,I,273,2,2,2,10
2012,I,311,3,4,2,10
2013,I,356,7,8,2,10
2014,I,412,11,13,2,10
2015,I,459,17,20,4,19
2016,I,541,23,27,4,19
2017,I,600,31,36,5,24
2003,J,187,,,,
2004,J,371,,,,
2005,J,555,,,,
2006,J,804,,,,
2007,J,1039,,,,
2008,J,1125,1,1,8,39
2009,J,1371,2,2,18,87
2010,J,1840,3,4,65,316
2011,J,2433,7,8,67,325
2012,J,2768,14,16,69,335
2013,J,3206,23,27,75,364
2014,J,3687,40,47,76,369
2015,J,4105,61,72,79,383
2016,J,4818,88,104,82,398
2017,J,5335,128,151,85,413
2003,K,10,,,,
2004,K,21,,,,
2005,K,36,,,,
2006,K,57,,,,
2007,K,81,,,,
2008,K,255,10,12,0,0
2009,K,429,15,18,3,15
2010,K,639,26,31,3,15
2011,K,880,38,45,3,15
2012,K,1173,50,59,3,15
2013,K,1513,68,80,3,15
2014,K,1852,104,122,3,15
2015,K,2228,176,207,3,15
2016,K,2411,246,289,5,24
2017,K,2733,285,335,6,29
2003,NYCA,700,,,,
2004,NYCA,1369,,,,
2005,NYCA,1977,,,,
2006,NYCA,2833,,,,
2007,NYCA,3512,,,,
2008,NYCA,4036,17,20,28,136
2009,NYCA,5037,29,34,56,272
2010,NYCA,6479,53,62,137,665
2011,NYCA,8485,79,93,140,680
2012,NYCA,9884,122,144,148,718
2013,NYCA,11529,199,234,161,782
2014,NYCA,13369,324,381,168,816
2015,NYCA,15233,538,633,175,850
2016,NYCA,17120,785,924,185,898
2017,NYCA,19030,1027,1208,199,966
